Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Ganhadores_15_Numeros,Ganhadores_14_Numeros,Ganhadores_13_Numeros,Ganhadores_12_Numeros,Ganhadores_11_Numeros,Valor_Rateio_15_Numeros,Valor_Rateio_14_Numeros
1,9/29/2003,2,3,5,6,9,10,11,13,14,16,18,20,23,24,25,5,154,4645,48807,257593,"R$ 49.765,82","R$ 689,84"
2,10/6/2003,1,4,5,6,7,9,11,12,13,15,16,19,20,23,24,1,184,6232,81252,478188,"R$ 596.323,70","R$ 1.388,95"
3,10/13/2003,1,4,6,7,8,9,10,11,12,14,16,17,20,23,24,2,158,6897,96244,608211,"R$ 400.623,70","R$ 2.173,36"
4,10/20/2003,1,2,4,5,8,10,12,13,16,17,18,19,23,24,25,1,258,9569,123912,706657,"R$ 902.226,02","R$ 1.498,72"
5,10/27/2003,1,2,4,8,9,11,12,13,15,16,19,20,23,24,25,2,472,14736,195636,860992,"R$ 380.017,55","R$ 687,49"
6,11/3/2003,1,2,4,5,6,7,10,12,15,16,17,19,21,23,25,2,393,14242,162320,888301,"R$ 489.140,06","R$ 1.066,83"
7,11/10/2003,1,4,7,8,10,12,14,15,16,18,19,21,22,23,25,9,1333,25878,206828,967358,"R$ 104.625,29","R$ 301,59"
8,11/17/2003,1,5,6,8,9,10,13,15,16,17,18,19,20,22,25,1,256,11414,149037,926910,"R$ 1.201.958,08","R$ 2.012,21"
9,11/24/2003,3,4,5,9,10,11,13,15,16,17,19,20,21,24,25,3,407,14973,213511,1104328,"R$ 336.053,65","R$ 1.061,60"
10,12/1/2003,2,3,4,5,6,8,9,10,11,12,14,19,20,23,24,0,380,15767,207355,1186563,"R$ 0,00","R$ 1.157,08"
11,12/8/2003,2,6,7,8,9,10,11,12,16,19,20,22,23,24,25,0,306,14249,216679,1343171,"R$ 0,00","R$ 1.855,82"
12,12/15/2003,1,2,4,5,7,8,9,10,11,12,14,16,17,24,25,1,631,24400,322557,1607584,"R$ 3.490.966,18","R$ 771,32"
13,12/22/2003,3,5,6,7,8,9,10,11,13,14,15,16,17,19,23,3,714,27399,320961,1501354,"R$ 269.157,25","R$ 482,84"
14,12/29/2003,1,2,5,6,7,9,13,14,15,18,19,20,21,23,25,3,444,15413,214582,1149506,"R$ 411.362,89","R$ 1.191,21"
15,1/5/2004,1,2,4,6,8,10,12,15,16,18,19,21,23,24,25,22,2059,38038,379994,1198158,"R$ 27.525,68","R$ 125,58"
16,1/12/2004,2,5,6,7,8,10,12,13,15,17,19,21,23,24,25,9,1086,29005,329409,1471908,"R$ 83.935,77","R$ 296,98"
